[00:00.000 --> 00:04.640]  I'm recording.
[01:27:09.420 --> 01:27:14.120]  And you can command it to do that and plot out the result.
[01:27:14.240 --> 01:27:15.520]  This is the input signal.
[01:27:15.620 --> 01:27:20.020]  By the way, you'll see that there's very, very little or almost no harmonics.
[01:27:20.020 --> 01:27:22.920]  It's all the way down at minus 240 dB.
[01:27:23.400 --> 01:27:33.820]  Whereas the original output signal has a strong fundamental and very, very high amounts of distortion as we see here.
[01:27:34.420 --> 01:27:34.680]  Okay?
[01:27:34.880 --> 01:27:39.580]  You can see that the harmonics are very, very strong in magnitude.
[01:27:40.140 --> 01:27:40.440]  All right?
[01:27:40.780 --> 01:27:44.380]  So we'll see that on Thursday when we have more time to discuss.
[01:27:44.580 --> 01:27:46.600]  And of course, we'll continue the lesson from there.
[01:27:47.000 --> 01:27:47.240]  Okay?
[01:27:47.620 --> 01:27:47.920]  All right.
[01:27:47.920 --> 01:27:49.320]  So stop muna tayo.
[01:27:50.020 --> 01:27:50.640]  All right?
[01:27:51.020 --> 01:27:54.580]  Hopefully, you have learned something for today.
[01:27:55.180 --> 01:28:01.220]  And we're going to ask you to do some of these things in the next experiment as well.
[01:28:01.980 --> 01:28:02.260]  Okay?
[01:28:02.620 --> 01:28:03.000]  All right.
[01:28:03.120 --> 01:28:04.600]  So that's where we are going.
[01:28:05.180 --> 01:28:08.200]  Thank you very much for joining us today.
[01:28:08.300 --> 01:28:10.420]  Sorry, I'm concentrating on removing all of this stuff.
[01:28:10.900 --> 01:28:11.040]  Okay?
[01:28:11.500 --> 01:28:12.560]  Are there any questions?
[01:28:13.480 --> 01:28:13.660]  Wala!
[01:28:15.520 --> 01:28:16.040]  Okay.
[01:28:16.880 --> 01:28:17.820]  So thumbs up.
[01:28:18.260 --> 01:28:18.700]  All right.
[01:28:19.160 --> 01:28:20.660]  Thank you very much.
[01:28:20.740 --> 01:28:22.300]  And I'll see you again next time.
[01:28:22.620 --> 01:28:23.100]  Goodbye!
[01:28:23.100 --> 01:28:23.280]  Goodbye!
[01:28:23.280 --> 01:28:23.660]  Goodbye!
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:23.660] 
[01:28:23.660 --> 01:28:36.660] !
[01:28:36.660 --> 01:28:36.660] 
[01:28:36.660 --> 01:28:36.660] 
[01:28:36.660 --> 01:28:36.660] 
[01:28:36.660 --> 01:28:36.660] 
[01:28:36.660 --> 01:28:36.660] 
[01:28:36.660 --> 01:28:36.660] 
[01:28:36.660 --> 01:28:36.660] 
[01:28:36.660 --> 01:28:36.660] 
[01:28:36.660 --> 01:28:36.660] 
[01:28:36.660 --> 01:28:36.660] 
[01:28:36.660 --> 01:28:36.660] 
[01:28:36.660 --> 01:28:36.660] 
[01:28:36.660 --> 01:28:36.660] 
[01:28:36.660 --> 01:28:36.660] 
[01:28:36.660 --> 01:28:36.660] 
