[00:00.000 --> 00:06.000]  I'm back.
[01:06:37.200 --> 01:06:37.540]  here
[01:06:37.540 --> 01:06:38.160]  is that
[01:06:38.160 --> 01:06:39.040]  the
[01:06:39.040 --> 01:06:40.300]  instead
[01:06:40.300 --> 01:06:40.720]  of
[01:06:40.720 --> 01:06:41.320]  ground
[01:06:41.320 --> 01:06:41.980]  we are
[01:06:41.980 --> 01:06:42.440]  now
[01:06:42.440 --> 01:06:43.200]  at
[01:06:43.200 --> 01:06:43.820]  negative
[01:06:43.820 --> 01:06:44.540]  12
[01:06:44.540 --> 01:06:46.120]  as
[01:06:46.120 --> 01:06:46.840]  our
[01:06:46.840 --> 01:06:48.280]  emitter
[01:06:48.280 --> 01:06:49.640]  connection
[01:06:49.640 --> 01:06:50.340]  our
[01:06:50.340 --> 01:06:50.720]  emitter
[01:06:50.720 --> 01:06:51.180]  resistor
[01:06:51.180 --> 01:06:51.820]  is connected
[01:06:51.820 --> 01:06:52.100]  to
[01:06:52.100 --> 01:06:52.560]  negative
[01:06:52.560 --> 01:06:53.300]  12
[01:06:53.300 --> 01:06:56.740]  okay
[01:06:56.740 --> 01:06:57.920]  and
[01:06:57.920 --> 01:06:58.900]  not a
[01:06:58.900 --> 01:06:59.380]  big deal
[01:06:59.380 --> 01:07:00.520]  right
[01:07:00.520 --> 01:07:01.280]  not a
[01:07:01.280 --> 01:07:01.720]  big deal
[01:07:01.720 --> 01:07:03.080]  so
[01:07:03.080 --> 01:07:03.760]  two ways
[01:07:03.760 --> 01:07:03.920]  of
[01:07:03.920 --> 01:07:04.260]  tackling
[01:07:04.260 --> 01:07:04.560]  this
[01:07:04.560 --> 01:07:05.100]  problem
[01:07:05.100 --> 01:07:05.700]  essentially
[01:07:05.700 --> 01:07:06.360]  if you
[01:07:06.360 --> 01:07:07.040]  look at
[01:07:07.040 --> 01:07:07.580]  it and
[01:07:07.580 --> 01:07:08.520]  let your
[01:07:08.520 --> 01:07:08.980]  mind
[01:07:08.980 --> 01:07:10.060]  accept
[01:07:10.060 --> 01:07:10.420]  it
[01:07:10.420 --> 01:07:11.440]  all right
[01:07:11.440 --> 01:07:11.860]  and just
[01:07:11.860 --> 01:07:12.440]  simply say
[01:07:12.440 --> 01:07:13.140]  that well
[01:07:13.140 --> 01:07:14.640]  I used
[01:07:14.640 --> 01:07:15.500]  to have
[01:07:15.500 --> 01:07:16.460]  circuits
[01:07:16.460 --> 01:07:17.160]  where
[01:07:17.160 --> 01:07:17.540]  the
[01:07:17.540 --> 01:07:18.280]  reference
[01:07:18.280 --> 01:07:19.660]  for all
[01:07:19.660 --> 01:07:20.320]  measurements
[01:07:20.320 --> 01:07:20.640]  is
[01:07:20.640 --> 01:07:21.540]  ground
[01:07:21.540 --> 01:07:23.220]  aka
[01:07:23.220 --> 01:07:24.040]  zero
[01:07:24.040 --> 01:07:24.680]  volts
[01:07:24.680 --> 01:07:26.040]  ground
[01:07:26.040 --> 01:07:27.640]  right
[01:07:27.640 --> 01:07:28.380]  now
[01:07:28.380 --> 01:07:29.200]  in this
[01:07:29.200 --> 01:07:29.540]  case
[01:07:29.540 --> 01:07:29.920]  if I
[01:07:29.920 --> 01:07:30.300]  wanted
[01:07:30.300 --> 01:07:30.840]  to use
[01:07:30.840 --> 01:07:31.320]  exactly
[01:07:31.320 --> 01:07:31.800]  the same
[01:07:31.800 --> 01:07:32.200]  thing
[01:07:32.200 --> 01:07:33.360]  then I
[01:07:33.360 --> 01:07:33.860]  can say
[01:07:33.860 --> 01:07:34.880]  that my
[01:07:34.880 --> 01:07:35.520]  reference
[01:07:35.520 --> 01:07:36.100]  is
[01:07:36.100 --> 01:07:37.000]  negative
[01:07:37.000 --> 01:07:37.660]  12
[01:07:37.660 --> 01:07:38.160]  volts
[01:07:38.160 --> 01:07:39.320]  all right
[01:07:39.320 --> 01:07:40.040]  your
[01:07:40.040 --> 01:07:40.520]  reference
[01:07:40.520 --> 01:07:41.100]  is
[01:07:41.100 --> 01:07:41.780]  negative
[01:07:41.780 --> 01:07:42.620]  12
[01:07:42.620 --> 01:07:43.300]  volts
[01:07:43.300 --> 01:07:45.000]  right
[01:07:45.000 --> 01:07:45.700]  if you're
[01:07:45.700 --> 01:07:46.060]  having a
[01:07:46.060 --> 01:07:46.420]  hard time
[01:07:46.420 --> 01:07:47.120]  visualizing
[01:07:47.120 --> 01:07:47.340]  that
[01:07:47.340 --> 01:07:47.800]  just think
[01:07:47.800 --> 01:07:48.320]  of yourself
[01:07:48.320 --> 01:07:49.340]  staring
[01:07:49.340 --> 01:07:49.980]  at a
[01:07:49.980 --> 01:07:50.240]  you know
[01:07:50.240 --> 01:07:50.800]  a building
[01:07:50.800 --> 01:07:52.660]  with an
[01:07:52.660 --> 01:07:53.120]  underground
[01:07:53.120 --> 01:07:53.820]  basement
[01:07:53.820 --> 01:07:54.340]  this is
[01:07:54.340 --> 01:07:54.700]  your
[01:07:54.700 --> 01:07:56.320]  ground
[01:07:56.320 --> 01:07:57.540]  level
[01:07:57.540 --> 01:07:58.820]  all right
[01:07:58.820 --> 01:07:59.920]  this is
[01:07:59.920 --> 01:08:00.540]  where
[01:08:00.540 --> 01:08:01.240]  cars
[01:08:01.240 --> 01:08:02.320]  and buses
[01:08:02.320 --> 01:08:03.680]  and people
[01:08:03.680 --> 01:08:04.720]  are normally
[01:08:04.720 --> 01:08:05.160]  work
[01:08:05.160 --> 01:08:05.900]  you know
[01:08:05.900 --> 01:08:06.200]  walking
[01:08:06.200 --> 01:08:07.060]  bakit hindi
[01:08:07.060 --> 01:08:07.620]  naman mukhang
[01:08:07.620 --> 01:08:08.580]  kotse yan
[01:08:08.580 --> 01:08:08.980]  okay
[01:08:08.980 --> 01:08:09.520]  and dito yung
[01:08:09.520 --> 01:08:09.880]  bus
[01:08:09.880 --> 01:08:10.580]  or whatever
[01:08:10.580 --> 01:08:11.880]  all right
[01:08:11.880 --> 01:08:12.720]  and dito yung
[01:08:12.720 --> 01:08:14.120]  stoplight
[01:08:14.120 --> 01:08:15.900]  stoplight
[01:08:15.900 --> 01:08:16.420]  ni Juan
[01:08:16.420 --> 01:08:17.120]  okay
[01:08:17.120 --> 01:08:17.680]  so ito yung
[01:08:17.680 --> 01:08:18.120]  building
[01:08:18.120 --> 01:08:20.160]  okay
[01:08:20.160 --> 01:08:21.640]  meron siyang
[01:08:21.640 --> 01:08:22.200]  basement
[01:08:22.200 --> 01:08:23.580]  oh
[01:08:23.580 --> 01:08:24.420]  ayan
[01:08:24.420 --> 01:08:24.940]  okay
[01:08:24.940 --> 01:08:25.680]  so yan yung
[01:08:25.680 --> 01:08:26.540]  normal ground
[01:08:26.540 --> 01:08:27.000]  ito yung
[01:08:27.000 --> 01:08:27.540]  normal na
[01:08:27.540 --> 01:08:28.320]  iniisip mong
[01:08:28.320 --> 01:08:28.840]  zero
[01:08:28.840 --> 01:08:30.140]  all right
[01:08:30.140 --> 01:08:31.140]  so meron tayong
[01:08:31.140 --> 01:08:31.580]  floors
[01:08:31.580 --> 01:08:32.460]  pataas
[01:08:32.460 --> 01:08:34.580]  okay
[01:08:34.580 --> 01:08:35.780]  up to the
[01:08:35.780 --> 01:08:36.920]  12th
[01:08:36.920 --> 01:08:37.340]  floor
[01:08:37.340 --> 01:08:39.140]  all right
[01:08:39.140 --> 01:08:40.300]  I want to go
[01:08:40.300 --> 01:08:41.340]  to the 12th
[01:08:41.340 --> 01:08:41.720]  floor
[01:08:41.720 --> 01:08:42.580]  why would you
[01:08:42.580 --> 01:08:43.340]  want to do that
[01:08:43.340 --> 01:08:44.040]  nandun kasi
[01:08:44.040 --> 01:08:44.500]  yung
[01:08:44.500 --> 01:08:46.800]  sa Andrew
[01:08:46.800 --> 01:08:47.000]  ba
[01:08:47.000 --> 01:08:47.180]  ano
[01:08:47.180 --> 01:08:47.520]  nasa
[01:08:47.520 --> 01:08:47.880]  12th
[01:08:47.880 --> 01:08:48.120]  floor
[01:08:48.120 --> 01:08:49.300]  okay
[01:08:49.300 --> 01:08:50.240]  I think
[01:08:50.240 --> 01:08:50.660]  that's where
[01:08:50.660 --> 01:08:50.920]  the
[01:08:50.920 --> 01:08:52.100]  you know
[01:08:52.100 --> 01:08:52.880]  prayer area
[01:08:52.880 --> 01:08:53.300]  is or
[01:08:53.300 --> 01:08:53.680]  whatever
[01:08:53.680 --> 01:08:54.180]  I don't
[01:08:54.180 --> 01:08:54.600]  remember
[01:08:54.600 --> 01:08:55.820]  never go
[01:08:55.820 --> 01:08:56.080]  to the
[01:08:56.080 --> 01:08:56.340]  12th
[01:08:56.340 --> 01:08:56.540]  floor
[01:08:56.540 --> 01:08:57.440]  all right
[01:08:57.440 --> 01:08:57.880]  and let's
[01:08:57.880 --> 01:08:58.260]  pretend
[01:08:58.260 --> 01:08:59.000]  that Andrew
[01:08:59.000 --> 01:08:59.380]  has
[01:08:59.380 --> 01:08:59.940]  basement
[01:08:59.940 --> 01:09:02.760]  all the way
[01:09:02.760 --> 01:09:03.380]  to the
[01:09:03.380 --> 01:09:03.880]  negative
[01:09:03.880 --> 01:09:05.180]  12th
[01:09:05.180 --> 01:09:06.440]  floor
[01:09:06.440 --> 01:09:07.600]  all right
[01:09:07.600 --> 01:09:09.760]  undergrad
[01:09:09.760 --> 01:09:10.600]  parking
[01:09:10.600 --> 01:09:11.440]  hanggang
[01:09:11.440 --> 01:09:11.960]  negative
[01:09:11.960 --> 01:09:12.500]  12
[01:09:12.500 --> 01:09:15.380]  b1
[01:09:15.380 --> 01:09:16.020]  b2
[01:09:16.020 --> 01:09:16.620]  b3
[01:09:16.620 --> 01:09:17.120]  hanggang
[01:09:17.120 --> 01:09:17.960]  d12
[01:09:17.960 --> 01:09:19.060]  basement
[01:09:19.060 --> 01:09:19.700]  12
[01:09:19.700 --> 01:09:21.120]  parking
[01:09:21.120 --> 01:09:21.640]  wow
[01:09:21.640 --> 01:09:22.200]  dami
[01:09:22.200 --> 01:09:22.520]  naman
[01:09:22.520 --> 01:09:23.880]  all right
[01:09:23.880 --> 01:09:25.220]  so yun lang
[01:09:25.220 --> 01:09:26.660]  ngayon
[01:09:26.660 --> 01:09:28.020]  you got used
[01:09:28.020 --> 01:09:28.680]  to measuring
[01:09:28.680 --> 01:09:29.640]  from ground
[01:09:29.640 --> 01:09:30.780]  up to any
[01:09:30.780 --> 01:09:31.680]  voltage
[01:09:31.680 --> 01:09:33.820]  any floor
[01:09:33.820 --> 01:09:34.700]  upwards
[01:09:34.700 --> 01:09:35.320]  all right
[01:09:35.320 --> 01:09:35.680]  now
[01:09:35.680 --> 01:09:36.400]  you're
[01:09:36.400 --> 01:09:37.080]  standing
[01:09:37.080 --> 01:09:37.780]  here
[01:09:37.780 --> 01:09:39.480]  and measuring
[01:09:39.480 --> 01:09:40.560]  all voltages
[01:09:40.560 --> 01:09:41.860]  with reference
[01:09:41.860 --> 01:09:42.300]  to
[01:09:42.300 --> 01:09:43.880]  this one
[01:09:43.880 --> 01:09:44.800]  okay
[01:09:44.800 --> 01:09:45.340]  oh
[01:09:45.340 --> 01:09:45.920]  now
[01:09:45.920 --> 01:09:46.680]  is that hard
[01:09:46.680 --> 01:09:47.520]  nah
[01:09:47.520 --> 01:09:48.340]  not really
[01:09:48.340 --> 01:09:49.760]  same banana
[01:09:49.760 --> 01:09:51.140]  okay
[01:09:51.140 --> 01:09:51.920]  all right
[01:09:51.920 --> 01:09:53.200]  same banana
[01:09:53.200 --> 01:09:53.960]  just bigger
[01:09:53.960 --> 01:09:55.400]  more flows
[01:09:55.400 --> 01:09:56.400]  oh
[01:09:56.400 --> 01:09:57.440]  determine
[01:09:57.440 --> 01:09:58.060]  IB
[01:09:58.060 --> 01:09:59.060]  IC
[01:09:59.060 --> 01:10:00.360]  and BCE
[01:10:00.360 --> 01:10:01.880]  there you go
[01:10:01.880 --> 01:10:02.700]  go try it
[01:10:02.700 --> 01:10:04.160]  okay
[01:10:04.160 --> 01:10:07.120]  nasaan siya
[01:10:07.120 --> 01:10:07.860]  nasaan
[01:10:07.860 --> 01:10:08.520]  ano ang
[01:10:08.520 --> 01:10:09.820]  values
[01:10:09.820 --> 01:10:10.360]  natin
[01:10:10.360 --> 01:10:16.920]  okay
[01:10:16.920 --> 01:10:19.600]  all right
[01:10:19.600 --> 01:10:20.660]  so first
[01:10:20.660 --> 01:10:21.260]  things first
[01:10:21.260 --> 01:10:22.160]  all right
[01:10:22.160 --> 01:10:22.760]  if you're
[01:10:22.760 --> 01:10:23.380]  having some
[01:10:23.380 --> 01:10:24.020]  difficulty
[01:10:24.020 --> 01:10:24.640]  again
[01:10:24.640 --> 01:10:25.180]  this is
[01:10:25.180 --> 01:10:25.620]  just
[01:10:25.620 --> 01:10:26.160]  your
[01:10:26.160 --> 01:10:27.980]  emitter
[01:10:27.980 --> 01:10:28.840]  stabilized
[01:10:28.840 --> 01:10:29.940]  circuit
[01:10:29.940 --> 01:10:31.880]  all right
[01:10:31.880 --> 01:10:32.600]  nothing
[01:10:32.600 --> 01:10:33.540]  really
[01:10:33.540 --> 01:10:34.500]  special
[01:10:34.500 --> 01:10:35.320]  about it
[01:10:35.320 --> 01:10:36.560]  so follow
[01:10:36.560 --> 01:10:36.900]  the
[01:10:36.900 --> 01:10:37.500]  emitter
[01:10:37.500 --> 01:10:38.240]  stabilized
[01:10:38.240 --> 01:10:39.960]  circuit
[01:10:39.960 --> 01:10:41.960]  equations
[01:10:41.960 --> 01:10:42.960]  for that
[01:10:42.960 --> 01:10:43.300]  matter
[01:10:43.300 --> 01:10:44.440]  okay
[01:10:44.440 --> 01:10:45.640]  all right
[01:10:45.640 --> 01:10:47.160]  and
[01:10:47.160 --> 01:10:47.840]  the only
[01:10:47.840 --> 01:10:48.760]  big difference
[01:10:48.760 --> 01:10:50.600]  is the
[01:10:50.600 --> 01:10:51.100]  recognition
[01:10:51.100 --> 01:10:51.940]  again that
[01:10:51.940 --> 01:10:52.380]  your
[01:10:52.380 --> 01:10:53.260]  reference
[01:10:53.260 --> 01:10:53.940]  starts
[01:10:53.940 --> 01:10:54.420]  from
[01:10:54.420 --> 01:10:55.060]  here
[01:10:55.060 --> 01:10:56.440]  therefore
[01:10:56.440 --> 01:10:57.620]  if you
[01:10:57.620 --> 01:10:58.500]  want to
[01:10:58.500 --> 01:10:59.900]  be
[01:10:59.900 --> 01:11:00.680]  rather
[01:11:00.680 --> 01:11:01.220]  obvious
[01:11:01.220 --> 01:11:02.520]  you need
[01:11:02.520 --> 01:11:02.780]  that
[01:11:02.780 --> 01:11:03.280]  helping
[01:11:03.280 --> 01:11:03.960]  statement
[01:11:03.960 --> 01:11:04.940]  all right
[01:11:04.940 --> 01:11:06.540]  if you
[01:11:06.540 --> 01:11:07.320]  were asked
[01:11:07.320 --> 01:11:08.080]  all right
[01:11:08.080 --> 01:11:08.520]  you can
[01:11:08.520 --> 01:11:09.220]  say that
[01:11:09.220 --> 01:11:09.700]  this is
[01:11:09.700 --> 01:11:10.400]  the equivalent
[01:11:10.400 --> 01:11:11.400]  of well
[01:11:11.400 --> 01:11:12.180]  where I
[01:11:12.180 --> 01:11:12.980]  am referencing
[01:11:12.980 --> 01:11:13.480]  it I
[01:11:13.480 --> 01:11:13.880]  want to
[01:11:13.880 --> 01:11:14.380]  use that
[01:11:14.380 --> 01:11:14.920]  as my
[01:11:14.920 --> 01:11:15.560]  zero
[01:11:15.560 --> 01:11:16.580]  you want
[01:11:16.580 --> 01:11:16.860]  to put
[01:11:16.860 --> 01:11:17.640]  your quotation
[01:11:17.640 --> 01:11:18.220]  marks
[01:11:18.220 --> 01:11:18.540]  there
[01:11:18.540 --> 01:11:19.660]  so if
[01:11:19.660 --> 01:11:20.240]  this is
[01:11:20.240 --> 01:11:20.760]  considered
[01:11:20.760 --> 01:11:21.500]  for you
[01:11:21.500 --> 01:11:22.040]  to be
[01:11:22.040 --> 01:11:23.000]  zero
[01:11:23.000 --> 01:11:24.980]  okay
[01:11:24.980 --> 01:11:26.920]  what is
[01:11:26.920 --> 01:11:27.880]  this voltage
[01:11:27.880 --> 01:11:28.620]  relative
[01:11:28.620 --> 01:11:29.540]  to zero
[01:11:29.540 --> 01:11:30.080]  well I
[01:11:30.080 --> 01:11:30.640]  gotta go
[01:11:30.640 --> 01:11:31.900]  up from
[01:11:31.900 --> 01:11:32.420]  my
[01:11:32.420 --> 01:11:33.100]  negative
[01:11:33.100 --> 01:11:33.800]  12
[01:11:33.800 --> 01:11:34.640]  basement
[01:11:34.640 --> 01:11:35.300]  all the
[01:11:35.300 --> 01:11:35.680]  way to
[01:11:35.680 --> 01:11:36.220]  the ground
[01:11:36.220 --> 01:11:36.620]  floor
[01:11:36.620 --> 01:11:37.120]  so that's
[01:11:37.120 --> 01:11:39.240]  plus 12
[01:11:39.240 --> 01:11:40.380]  to go up
[01:11:40.380 --> 01:11:40.800]  to the
[01:11:40.800 --> 01:11:41.140]  ground
[01:11:41.140 --> 01:11:41.980]  plus
[01:11:41.980 --> 01:11:42.840]  another
[01:11:42.840 --> 01:11:43.960]  12 to
[01:11:43.960 --> 01:11:44.500]  go up
[01:11:44.500 --> 01:11:45.080]  to the
[01:11:45.080 --> 01:11:45.540]  actual
[01:11:45.540 --> 01:11:46.500]  12 floor
[01:11:46.500 --> 01:11:46.920]  of the
[01:11:46.920 --> 01:11:47.280]  building
[01:11:47.280 --> 01:11:48.180]  so from
[01:11:48.180 --> 01:11:48.940]  here all
[01:11:48.940 --> 01:11:49.260]  the way
[01:11:49.260 --> 01:11:49.700]  up to
[01:11:49.700 --> 01:11:50.220]  here
[01:11:50.220 --> 01:11:51.320]  is actually
[01:11:51.320 --> 01:11:52.500]  24
[01:11:52.500 --> 01:11:54.740]  volts
[01:11:54.740 --> 01:11:55.720]  okay
[01:11:55.720 --> 01:11:56.800]  all right
[01:11:56.800 --> 01:11:57.260]  and so
[01:11:57.260 --> 01:11:58.440]  now
[01:11:58.440 --> 01:11:59.120]  for those
[01:11:59.120 --> 01:11:59.740]  equations
[01:11:59.740 --> 01:12:00.320]  that you
[01:12:00.320 --> 01:12:00.880]  got used
[01:12:00.880 --> 01:12:01.640]  to seeing
[01:12:01.640 --> 01:12:02.340]  pag sinabi
[01:12:02.340 --> 01:12:02.660]  niyang
[01:12:02.660 --> 01:12:03.600]  VCC
[01:12:03.600 --> 01:12:04.560]  for example
[01:12:04.560 --> 01:12:05.540]  dati
[01:12:05.540 --> 01:12:06.280]  sa substitute
[01:12:06.280 --> 01:12:06.680]  mo lang
[01:12:06.680 --> 01:12:07.140]  deretso
[01:12:07.140 --> 01:12:07.620]  12
[01:12:07.620 --> 01:12:08.160]  kasi
[01:12:08.160 --> 01:12:08.980]  ground
[01:12:08.980 --> 01:12:09.820]  ang basis
[01:12:09.820 --> 01:12:10.080]  mo
[01:12:10.080 --> 01:12:10.540]  zero
[01:12:10.540 --> 01:12:11.740]  now that
[01:12:11.740 --> 01:12:11.940]  you're
[01:12:11.940 --> 01:12:12.360]  standing
[01:12:12.360 --> 01:12:12.860]  at the
[01:12:12.860 --> 01:12:13.420]  basement
[01:12:13.420 --> 01:12:14.460]  negative
[01:12:14.460 --> 01:12:14.960]  12
[01:12:14.960 --> 01:12:15.340]  floor
[01:12:15.340 --> 01:12:16.260]  your
[01:12:16.260 --> 01:12:17.080]  12
[01:12:17.080 --> 01:12:17.420]  volts
[01:12:17.420 --> 01:12:17.660]  here
[01:12:17.660 --> 01:12:18.560]  is actually
[01:12:18.560 --> 01:12:19.560]  24
[01:12:19.560 --> 01:12:20.300]  volts
[01:12:20.300 --> 01:12:21.000]  away
[01:12:21.000 --> 01:12:21.560]  from
[01:12:21.560 --> 01:12:21.820]  the
[01:12:21.820 --> 01:12:22.320]  reference
[01:12:22.320 --> 01:12:22.740]  and so
[01:12:22.740 --> 01:12:23.660]  you substitute
[01:12:23.660 --> 01:12:25.280]  24
[01:12:25.280 --> 01:12:26.700]  instead
[01:12:26.700 --> 01:12:27.740]  of just
[01:12:27.740 --> 01:12:28.560]  12
[01:12:28.560 --> 01:12:29.540]  okay
[01:12:29.540 --> 01:12:30.600]  all right
[01:12:30.600 --> 01:12:30.900]  and you
[01:12:30.900 --> 01:12:31.320]  take it
[01:12:31.320 --> 01:12:31.820]  from there
[01:12:31.820 --> 01:12:33.220]  to make
[01:12:33.220 --> 01:12:34.000]  your calculations
[01:12:34.000 --> 01:12:34.860]  because if
[01:12:34.860 --> 01:12:35.500]  not then
[01:12:35.500 --> 01:12:36.280]  you know
[01:12:36.280 --> 01:12:36.780]  you're not
[01:12:36.780 --> 01:12:37.220]  going to be
[01:12:37.220 --> 01:12:37.840]  calculating
[01:12:37.840 --> 01:12:38.600]  the correct
[01:12:38.600 --> 01:12:39.100]  IB
[01:12:39.100 --> 01:12:40.100]  and so on
[01:12:40.100 --> 01:12:40.560]  and so
[01:12:40.560 --> 01:12:41.280]  forth
[01:12:41.280 --> 01:12:42.480]  blah blah
[01:12:42.480 --> 01:12:43.120]  yada yada
[01:12:43.120 --> 01:12:43.660]  good luck
[01:12:43.660 --> 01:12:44.300]  all right
[01:12:44.300 --> 01:12:45.520]  so we'll
[01:12:45.520 --> 01:12:45.980]  leave that
[01:12:45.980 --> 01:12:46.800]  up to you
[01:12:46.800 --> 01:12:47.540]  as a
[01:12:47.540 --> 01:12:48.400]  major
[01:12:48.400 --> 01:12:49.280]  mental
[01:12:49.280 --> 01:12:49.940]  exercise
[01:12:49.940 --> 01:12:50.760]  because
[01:12:50.760 --> 01:12:51.280]  you know
[01:12:51.280 --> 01:12:51.620]  hey
[01:12:51.620 --> 01:12:52.960]  and you
[01:12:52.960 --> 01:12:53.320]  have to
[01:12:53.320 --> 01:12:53.700]  use your
[01:12:53.700 --> 01:12:54.000]  brain
[01:12:54.000 --> 01:12:54.500]  at one
[01:12:54.500 --> 01:12:54.860]  point
[01:12:54.860 --> 01:12:55.480]  in time
[01:12:55.480 --> 01:12:57.540]  all right
[01:12:57.540 --> 01:12:58.660]  so sample
[01:12:58.660 --> 01:12:59.480]  problem
[01:12:59.480 --> 01:12:59.940]  okay
[01:12:59.940 --> 01:13:00.920]  ayan
[01:13:00.920 --> 01:13:02.220]  medyo mas
[01:13:02.220 --> 01:13:03.180]  challenging
[01:13:03.180 --> 01:13:03.700]  ng kote
[01:13:03.700 --> 01:13:04.260]  binigay ko
[01:13:04.260 --> 01:13:04.680]  na lahat
[01:13:04.680 --> 01:13:05.340]  ng clues
[01:13:05.340 --> 01:13:06.620]  na kailangan
[01:13:06.620 --> 01:13:07.620]  and explanations
[01:13:07.620 --> 01:13:08.240]  okay
[01:13:08.240 --> 01:13:08.700]  so there you
[01:13:08.700 --> 01:13:09.220]  go with that
[01:13:09.220 --> 01:13:10.360]  okay
[01:13:10.360 --> 01:13:11.660]  all right
[01:13:11.660 --> 01:13:13.480]  so much
[01:13:13.480 --> 01:13:14.160]  there are so
[01:13:14.160 --> 01:13:14.660]  many other
[01:13:14.660 --> 01:13:15.300]  examples
[01:13:15.300 --> 01:13:16.040]  here
[01:13:16.040 --> 01:13:17.480]  but again
[01:13:17.480 --> 01:13:18.300]  we're going
[01:13:18.300 --> 01:13:18.800]  to be reaching
[01:13:18.800 --> 01:13:19.140]  a point
[01:13:19.140 --> 01:13:19.580]  where it's
[01:13:19.580 --> 01:13:20.340]  ridiculously
[01:13:20.340 --> 01:13:21.060]  ahead
[01:13:21.060 --> 01:13:21.720]  already
[01:13:21.720 --> 01:13:22.980]  of the
[01:13:22.980 --> 01:13:23.180]  other
[01:13:23.180 --> 01:13:23.660]  class
[01:13:23.660 --> 01:13:24.220]  so
[01:13:24.220 --> 01:13:24.720]  well
[01:13:24.720 --> 01:13:25.100]  medyo
[01:13:25.100 --> 01:13:25.500]  bitin
[01:13:25.500 --> 01:13:25.800]  pero
[01:13:25.800 --> 01:13:26.000]  yun
[01:13:26.000 --> 01:13:26.140]  nga
[01:13:26.140 --> 01:13:26.500]  we leave
[01:13:26.500 --> 01:13:26.640]  that
[01:13:26.640 --> 01:13:27.180]  open
[01:13:27.180 --> 01:13:28.440]  for
[01:13:28.440 --> 01:13:29.080]  discussion
[01:13:29.080 --> 01:13:29.980]  on
[01:13:29.980 --> 01:13:30.400]  thursday
[01:13:30.400 --> 01:13:31.120]  and
[01:13:31.120 --> 01:13:31.540]  there's
[01:13:31.540 --> 01:13:31.760]  also
[01:13:31.760 --> 01:13:32.020]  this
[01:13:32.020 --> 01:13:32.320]  last
[01:13:32.320 --> 01:13:32.600]  part
[01:13:32.600 --> 01:13:32.760]  of
[01:13:32.760 --> 01:13:32.920]  the
[01:13:32.920 --> 01:13:33.240]  lesson
[01:13:33.240 --> 01:13:33.780]  which
[01:13:33.780 --> 01:13:34.320]  is
[01:13:34.320 --> 01:13:35.240]  transistors
[01:13:35.240 --> 01:13:35.820]  being used
[01:13:35.820 --> 01:13:36.200]  as a
[01:13:36.200 --> 01:13:36.580]  switch
[01:13:36.580 --> 01:13:38.280]  that's
[01:13:38.280 --> 01:13:39.400]  actually
[01:13:39.400 --> 01:13:39.820]  already
[01:13:39.820 --> 01:13:40.460]  outside
[01:13:40.460 --> 01:13:41.160]  of the
[01:13:41.160 --> 01:13:41.820]  providence
[01:13:41.820 --> 01:13:42.220]  of
[01:13:42.220 --> 01:13:42.700]  well
[01:13:42.700 --> 01:13:43.880]  we can
[01:13:43.880 --> 01:13:44.160]  include
[01:13:44.160 --> 01:13:45.280]  too much
[01:13:45.280 --> 01:13:45.740]  coverage
[01:13:45.740 --> 01:13:46.020]  but
[01:13:46.020 --> 01:13:46.640]  you know
[01:13:46.640 --> 01:13:47.240]  transistors
[01:13:47.240 --> 01:13:47.740]  as a switch
[01:13:47.740 --> 01:13:50.020]  as a switch
[01:13:50.020 --> 01:13:50.700]  is actually
[01:13:50.700 --> 01:13:51.420]  fairly easy
[01:13:51.420 --> 01:13:51.760]  so
[01:13:51.760 --> 01:13:52.980]  what the hell
[01:13:52.980 --> 01:13:53.840]  it can be a filler
[01:13:53.840 --> 01:13:55.000]  rather than just
[01:13:55.000 --> 01:13:56.060]  us sitting around
[01:13:56.060 --> 01:13:56.560]  on thursday
[01:13:56.560 --> 01:13:57.260]  doing nothing
[01:13:57.260 --> 01:13:58.200]  okay
[01:13:58.200 --> 01:13:58.760]  so we'll just
[01:13:58.760 --> 01:13:59.320]  finish off
[01:13:59.320 --> 01:14:00.340]  everything here
[01:14:00.340 --> 01:14:01.080]  there's just a few
[01:14:01.080 --> 01:14:01.920]  more slides
[01:14:01.920 --> 01:14:03.060]  that we need to
[01:14:03.060 --> 01:14:03.840]  cover for
[01:14:03.840 --> 01:14:04.400]  thursday
[01:14:04.400 --> 01:14:05.380]  and
[01:14:05.380 --> 01:14:05.880]  that
[01:14:05.880 --> 01:14:06.220]  will be
[01:14:06.220 --> 01:14:06.520]  it
[01:14:06.520 --> 01:14:07.380]  hindi pala
[01:14:07.380 --> 01:14:07.780]  a few
[01:14:07.780 --> 01:14:08.840]  quite a number
[01:14:08.840 --> 01:14:09.720]  pero what the hell
[01:14:09.720 --> 01:14:10.620]  okay
[01:14:10.620 --> 01:14:11.880]  sige
[01:14:11.880 --> 01:14:14.020]  there we go
[01:14:14.020 --> 01:14:14.820]  and
[01:14:14.820 --> 01:14:15.460]  so
[01:14:15.460 --> 01:14:16.900]  I think
[01:14:16.900 --> 01:14:17.280]  I can
[01:14:17.280 --> 01:14:18.080]  stop here
[01:14:18.080 --> 01:14:19.820]  okay
[01:14:19.820 --> 01:14:21.380]  meron magtanong
[01:14:21.380 --> 01:14:22.100]  syempre wala
[01:14:22.100 --> 01:14:22.460]  di ba
[01:14:22.460 --> 01:14:22.840]  pero
