[00:00.000 --> 00:15.120]  Don't hesitate to let me know so that your questions can be properly addressed.
[01:16:20.320 --> 01:16:21.540]  graph
[01:16:21.540 --> 01:16:22.220]  presented
[01:16:22.220 --> 01:16:22.540]  here,
[01:16:22.540 --> 01:16:22.860]  which
[01:16:22.860 --> 01:16:23.480]  gives
[01:16:23.480 --> 01:16:23.660]  you
[01:16:23.660 --> 01:16:24.280]  everything.
[01:16:25.800 --> 01:16:26.040]  Ayan!
[01:16:26.840 --> 01:16:27.120]  Okay.
[01:16:27.620 --> 01:16:27.780]  So,
[01:16:27.880 --> 01:16:28.480]  ito yun.
[01:16:28.740 --> 01:16:29.060]  All right?
[01:16:29.180 --> 01:16:29.740]  Umabot siya
[01:16:29.740 --> 01:16:30.200]  dito sa
[01:16:30.200 --> 01:16:30.880]  10 volts.
[01:16:31.300 --> 01:16:31.840]  We draw
[01:16:31.840 --> 01:16:32.200]  the
[01:16:32.200 --> 01:16:33.080]  intersection.
[01:16:33.880 --> 01:16:34.320]  We draw
[01:16:34.320 --> 01:16:34.820]  the line
[01:16:34.820 --> 01:16:35.260]  and get
[01:16:35.260 --> 01:16:35.480]  the
[01:16:35.480 --> 01:16:36.000]  intersection.
[01:16:36.760 --> 01:16:37.060]  And as
[01:16:37.060 --> 01:16:37.340]  you can
[01:16:37.340 --> 01:16:37.720]  see,
[01:16:37.940 --> 01:16:38.100]  the
[01:16:38.100 --> 01:16:38.580]  intersection
[01:16:38.580 --> 01:16:39.060]  point
[01:16:39.060 --> 01:16:39.600]  happens
[01:16:39.600 --> 01:16:40.280]  all the
[01:16:40.280 --> 01:16:40.740]  way up
[01:16:40.740 --> 01:16:41.040]  there.
[01:16:41.400 --> 01:16:41.620]  And
[01:16:41.620 --> 01:16:41.880]  he's
[01:16:41.880 --> 01:16:42.180]  been
[01:16:42.180 --> 01:16:43.200]  approximated
[01:16:43.200 --> 01:16:43.720]  at
[01:16:43.720 --> 01:16:46.040]  9.25
[01:16:46.040 --> 01:16:46.700]  milliamp
[01:16:46.700 --> 01:16:47.160]  years.
[01:16:47.900 --> 01:16:48.140]  And
[01:16:48.140 --> 01:16:49.940]  I
[01:16:49.940 --> 01:16:50.440]  don't
[01:16:50.440 --> 01:16:50.740]  really
[01:16:50.740 --> 01:16:51.080]  know
[01:16:51.080 --> 01:16:51.320]  if
[01:16:51.320 --> 01:16:51.820]  anybody
[01:16:51.820 --> 01:16:52.100]  can
[01:16:52.100 --> 01:16:52.420]  really
[01:16:52.420 --> 01:16:52.960]  see
[01:16:52.960 --> 01:16:53.180]  it
[01:16:53.180 --> 01:16:53.440]  that
[01:16:53.440 --> 01:16:53.880]  well,
[01:16:54.420 --> 01:16:54.660]  are
[01:16:54.660 --> 01:16:54.840]  you
[01:16:54.840 --> 01:16:55.040]  going
[01:16:55.040 --> 01:16:55.200]  to
[01:16:55.200 --> 01:16:55.400]  be
[01:16:55.400 --> 01:16:55.640]  able
[01:16:55.640 --> 01:16:55.860]  to
[01:16:55.860 --> 01:16:56.060]  say,
[01:16:56.180 --> 01:16:56.360]  oh,
[01:16:56.460 --> 01:16:56.840]  that's
[01:16:56.840 --> 01:16:58.320]  0.78
[01:16:58.320 --> 01:16:58.780]  volts.
[01:16:58.940 --> 01:16:59.100]  Pero
[01:16:59.100 --> 01:16:59.340]  if
[01:16:59.340 --> 01:16:59.500]  you
[01:16:59.500 --> 01:16:59.800]  can,
[01:16:59.900 --> 01:17:00.080]  then
[01:17:00.080 --> 01:17:00.320]  ang
[01:17:00.320 --> 01:17:00.560]  galing
[01:17:00.560 --> 01:17:00.760]  ng
[01:17:00.760 --> 01:17:00.940]  mga
[01:17:00.940 --> 01:17:01.260]  mata
[01:17:01.260 --> 01:17:01.680]  ninyo.
[01:17:02.340 --> 01:17:02.560]  Okay?
[01:17:02.660 --> 01:17:02.800]  But
[01:17:02.800 --> 01:17:03.180]  anyway,
[01:17:03.340 --> 01:17:03.600]  there's
[01:17:03.600 --> 01:17:03.780]  the
[01:17:03.780 --> 01:17:04.200]  answer.
[01:17:05.200 --> 01:17:05.720]  Okay?
[01:17:05.800 --> 01:17:06.120]  There's
[01:17:06.120 --> 01:17:06.280]  the
[01:17:06.280 --> 01:17:06.720]  answer
[01:17:06.720 --> 01:17:07.340]  for
[01:17:07.340 --> 01:17:07.680]  that
[01:17:07.680 --> 01:17:08.300]  question.
[01:17:08.880 --> 01:17:09.400]  Again,
[01:17:09.560 --> 01:17:09.940]  this is
[01:17:09.940 --> 01:17:10.200]  very,
[01:17:10.280 --> 01:17:10.440]  very
[01:17:10.440 --> 01:17:10.980]  dependent
[01:17:10.980 --> 01:17:11.460]  on how
[01:17:11.460 --> 01:17:11.740]  good
[01:17:11.740 --> 01:17:11.900]  you
[01:17:11.900 --> 01:17:12.180]  are
[01:17:12.180 --> 01:17:12.540]  at
[01:17:12.540 --> 01:17:13.860]  squinting
[01:17:13.860 --> 01:17:14.500]  and
[01:17:14.500 --> 01:17:14.800]  drawing
[01:17:14.800 --> 01:17:15.460]  the lines
[01:17:15.460 --> 01:17:15.720]  and
[01:17:15.720 --> 01:17:16.500]  estimating,
[01:17:16.620 --> 01:17:16.880]  ah,
[01:17:16.980 --> 01:17:17.240]  that's
[01:17:17.240 --> 01:17:17.580]  about
[01:17:17.580 --> 01:17:19.480]  0.767
[01:17:19.480 --> 01:17:20.460]  volts or
[01:17:20.460 --> 01:17:20.820]  whatever.
[01:17:21.560 --> 01:17:21.780]  Okay?
[01:17:22.100 --> 01:17:22.300]  Alright.
[01:17:26.860 --> 01:17:27.580]  Questions?
[01:17:28.200 --> 01:17:28.920]  Mag-tanong.
[01:17:29.620 --> 01:17:29.880]  Okay?
[01:17:30.000 --> 01:17:30.660]  May-tanong ba?
[01:17:32.800 --> 01:17:33.480]  Anybody?
[01:17:33.860 --> 01:17:34.180]  Anybody?
[01:17:34.660 --> 01:17:34.940]  Question?
[01:17:35.300 --> 01:17:35.580]  Question?
[01:17:37.520 --> 01:17:37.780]  Okay.
[01:17:39.720 --> 01:17:40.120]  Tanong?
[01:17:40.220 --> 01:17:40.500]  Tanong?
[01:17:40.600 --> 01:17:40.880]  Tanong?
[01:17:41.360 --> 01:17:41.620]  Wala?
[01:17:42.940 --> 01:17:43.520]  Wala?
[01:17:43.800 --> 01:17:44.220]  Sigurado?
[01:17:44.620 --> 01:17:44.860]  Okay?
[01:17:45.020 --> 01:17:46.060]  Mag-thumbs up tayo
[01:17:46.060 --> 01:17:47.760]  kung okay tayo?
[01:17:47.900 --> 01:17:48.080]  Hello?
[01:17:50.260 --> 01:17:50.500]  Yeah?
[01:17:52.560 --> 01:17:53.040]  Okay.
[01:17:53.120 --> 01:17:53.560]  Very good.
[01:17:54.360 --> 01:17:54.680]  Excellent.
[01:17:56.300 --> 01:17:56.540]  Sige.
[01:17:56.780 --> 01:17:56.960]  So,
[01:17:57.060 --> 01:17:57.380]  let's go
[01:17:57.380 --> 01:17:57.800]  forward.
[01:18:01.280 --> 01:18:01.940]  Will the
[01:18:01.940 --> 01:18:02.480]  graph be
[01:18:02.480 --> 01:18:03.040]  scaled
[01:18:03.040 --> 01:18:03.940]  if we're
[01:18:03.940 --> 01:18:04.420]  ever to
[01:18:04.420 --> 01:18:05.040]  answer this
[01:18:05.040 --> 01:18:05.460]  in an
[01:18:05.460 --> 01:18:05.840]  exam?
[01:18:05.940 --> 01:18:06.060]  Eh,
[01:18:06.060 --> 01:18:06.400]  syempre,
[01:18:06.600 --> 01:18:06.720]  eh,
[01:18:06.720 --> 01:18:07.220]  paano kung
[01:18:07.220 --> 01:18:07.460]  nga?
[01:18:09.800 --> 01:18:10.280]  Anong
[01:18:10.280 --> 01:18:10.920]  klase yun?
[01:18:11.180 --> 01:18:11.400]  Alright.
[01:18:11.720 --> 01:18:12.220]  You guys
[01:18:12.220 --> 01:18:12.640]  have very
[01:18:12.640 --> 01:18:13.400]  strange
[01:18:13.400 --> 01:18:13.940]  questions.
[01:18:14.740 --> 01:18:14.920]  Okay.
[01:18:14.920 --> 01:18:16.400]  You guys
[01:18:16.400 --> 01:18:16.780]  have very
[01:18:16.780 --> 01:18:17.320]  strange
[01:18:17.320 --> 01:18:17.760]  questions.
[01:18:18.840 --> 01:18:19.060]  Okay.
[01:18:20.020 --> 01:18:20.600]  Mapraning
[01:18:20.600 --> 01:18:20.820]  kayo
[01:18:20.820 --> 01:18:21.280]  masyadong.
[01:18:23.720 --> 01:18:24.560]  Alright.
[01:18:26.880 --> 01:18:27.600]  Repeat
[01:18:27.600 --> 01:18:28.240]  the problem
[01:18:28.240 --> 01:18:28.980]  using the
[01:18:28.980 --> 01:18:29.400]  simple
[01:18:29.400 --> 01:18:29.920]  SI
[01:18:29.920 --> 01:18:30.420]  model.
[01:18:31.860 --> 01:18:32.660]  Simple
[01:18:32.660 --> 01:18:33.360]  silicon
[01:18:33.360 --> 01:18:34.340]  model.
[01:18:35.240 --> 01:18:35.580]  Okay?
[01:18:36.760 --> 01:18:37.020]  Alright?
[01:18:37.480 --> 01:18:38.080]  Model
[01:18:38.080 --> 01:18:38.460]  two.
[01:18:38.900 --> 01:18:39.060]  Alright?
[01:18:39.840 --> 01:18:40.200]  Model
[01:18:40.200 --> 01:18:40.540]  two.
[01:18:42.280 --> 01:18:42.680]  Okay?
[01:18:43.440 --> 01:18:43.840]  Model
[01:18:43.840 --> 01:18:44.560]  two.
[01:18:44.560 --> 01:18:45.120]  Ano ba
[01:18:45.120 --> 01:18:45.200]  yung
[01:18:45.200 --> 01:18:45.680]  nakasulat
[01:18:45.680 --> 01:18:45.940]  dito?
[01:18:46.400 --> 01:18:46.660]  Model
[01:18:46.660 --> 01:18:47.100]  one?
[01:18:47.340 --> 01:18:47.760]  Paano ba?
[01:18:47.900 --> 01:18:48.440]  Nang Roman
[01:18:48.440 --> 01:18:49.260]  numerals ba
[01:18:49.260 --> 01:18:49.740]  tayo sa
[01:18:49.740 --> 01:18:50.060]  model
[01:18:50.060 --> 01:18:50.420]  one,
[01:18:50.520 --> 01:18:50.720]  model
[01:18:50.720 --> 01:18:50.980]  two,
[01:18:51.080 --> 01:18:51.280]  model
[01:18:51.280 --> 01:18:51.620]  three?
[01:18:51.860 --> 01:18:52.380]  I don't
[01:18:52.380 --> 01:18:52.840]  remember.
[01:18:53.240 --> 01:18:53.520]  Let's
[01:18:53.520 --> 01:18:53.760]  just
[01:18:53.760 --> 01:18:54.160]  check.
[01:18:55.280 --> 01:18:55.440]  Ah,
[01:18:55.520 --> 01:18:55.620]  yeah,
[01:18:55.700 --> 01:18:56.080]  it's in
[01:18:56.080 --> 01:18:56.340]  Roman
[01:18:56.340 --> 01:18:56.880]  numerals.
[01:18:57.100 --> 01:18:57.240]  Okay,
[01:18:57.340 --> 01:18:57.840]  so you'll
[01:18:57.840 --> 01:18:58.240]  notice.
[01:18:58.840 --> 01:18:59.360]  Okay,
[01:18:59.540 --> 01:18:59.900]  so let's
[01:18:59.900 --> 01:19:00.240]  go over
[01:19:00.240 --> 01:19:00.920]  here and
[01:19:00.920 --> 01:19:02.120]  get this
[01:19:02.120 --> 01:19:02.480]  thing
[01:19:02.480 --> 01:19:03.740]  correctly.
[01:19:04.540 --> 01:19:05.000]  SI
[01:19:05.000 --> 01:19:05.780]  model.
[01:19:06.860 --> 01:19:07.260]  Sorry,
[01:19:07.560 --> 01:19:07.900]  what a
[01:19:07.900 --> 01:19:08.240]  mess.
[01:19:10.040 --> 01:19:10.500]  Erase
[01:19:10.500 --> 01:19:10.780]  all
[01:19:10.780 --> 01:19:11.080]  inks
[01:19:11.080 --> 01:19:11.460]  on this
[01:19:11.460 --> 01:19:12.040]  side and
[01:19:12.040 --> 01:19:12.420]  say that
[01:19:12.420 --> 01:19:12.820]  this is
[01:19:12.820 --> 01:19:13.400]  supposed to
[01:19:13.400 --> 01:19:13.600]  be
[01:19:13.600 --> 01:19:14.140]  model
[01:19:14.140 --> 01:19:14.740]  two.
[01:19:17.440 --> 01:19:17.680]  Okay,
[01:19:17.780 --> 01:19:18.140]  model
[01:19:18.140 --> 01:19:18.500]  two.
[01:19:19.000 --> 01:19:19.280]  Ayan,
[01:19:19.680 --> 01:19:19.940]  okay?
[01:19:21.040 --> 01:19:21.640]  So,
[01:19:21.860 --> 01:19:22.100]  same
[01:19:22.100 --> 01:19:22.660]  operating
[01:19:22.660 --> 01:19:23.400]  conditions,
[01:19:23.660 --> 01:19:23.900]  E is
[01:19:23.900 --> 01:19:24.280]  equal to
[01:19:24.280 --> 01:19:24.540]  10
[01:19:24.540 --> 01:19:24.900]  volts,
[01:19:25.040 --> 01:19:25.360]  E sub
[01:19:25.360 --> 01:19:25.700]  r is
[01:19:25.700 --> 01:19:26.100]  equal to
[01:19:26.100 --> 01:19:26.340]  10
[01:19:26.340 --> 01:19:26.580]  media
[01:19:26.580 --> 01:19:27.180]  amperes.
[01:19:27.720 --> 01:19:28.160]  Simple
[01:19:28.160 --> 01:19:28.620]  SI
[01:19:28.620 --> 01:19:29.280]  model.
[01:19:29.540 --> 01:19:29.760]  I
[01:19:29.760 --> 01:19:30.900]  uses
[01:19:30.900 --> 01:19:30.900] 
[01:19:30.900 --> 01:19:30.900] 
[01:19:30.900 --> 01:19:31.340]  the
[01:19:31.340 --> 01:19:31.800]  ideal
[01:19:31.800 --> 01:19:32.320]  diode
[01:19:32.320 --> 01:19:32.800]  and
[01:19:32.800 --> 01:19:34.060]  0.7
[01:19:34.060 --> 01:19:34.540]  volts
[01:19:34.540 --> 01:19:34.800]  for
[01:19:34.800 --> 01:19:35.300]  forward
[01:19:35.300 --> 01:19:35.920]  conduction.
[01:19:36.720 --> 01:19:36.860]  Okay,
[01:19:37.100 --> 01:19:37.660]  so this
[01:19:37.660 --> 01:19:38.100]  is very,
[01:19:38.180 --> 01:19:38.880]  very simple.
[01:19:39.820 --> 01:19:40.160]  All right,
[01:19:40.200 --> 01:19:40.620]  it's very,
[01:19:40.720 --> 01:19:41.320]  very simple
[01:19:41.320 --> 01:19:43.680]  because
[01:19:43.680 --> 01:19:44.300]  model
[01:19:44.300 --> 01:19:44.700]  two
[01:19:44.700 --> 01:19:45.280]  is,
[01:19:45.540 --> 01:19:45.820]  again,
[01:19:46.020 --> 01:19:46.340]  a
[01:19:46.340 --> 01:19:47.420]  very
[01:19:47.420 --> 01:19:48.540]  straightforward
[01:19:48.540 --> 01:19:49.340]  transfer
[01:19:49.340 --> 01:19:49.920]  function
[01:19:49.920 --> 01:19:50.580]  that just
[01:19:50.580 --> 01:19:51.160]  looks like
[01:19:51.160 --> 01:19:51.700]  this.
[01:19:51.700 --> 01:19:52.280]  Okay,
[01:19:52.400 --> 01:19:52.540]  so
[01:19:52.540 --> 01:19:55.100]  and assumes
[01:19:55.100 --> 01:19:56.080]  that the
[01:19:56.080 --> 01:19:56.920]  forward
[01:19:56.920 --> 01:19:57.480]  conduction
[01:19:57.480 --> 01:19:58.380]  voltage is
[01:19:58.380 --> 01:19:58.980]  simply equal
[01:19:58.980 --> 01:19:59.880]  to 0.7
[01:19:59.880 --> 01:20:00.400]  volts.
[01:20:01.400 --> 01:20:01.740]  Okay,
[01:20:02.160 --> 01:20:02.640]  so this
[01:20:02.640 --> 01:20:03.420]  is kind of
[01:20:03.420 --> 01:20:04.520]  too easy.
[01:20:05.020 --> 01:20:05.360]  All right,
[01:20:05.360 --> 01:20:07.520]  because it's
[01:20:07.520 --> 01:20:07.940]  the same
[01:20:07.940 --> 01:20:08.600]  problem,
[01:20:09.260 --> 01:20:09.540]  10
[01:20:09.540 --> 01:20:10.020]  volts
[01:20:10.020 --> 01:20:12.240]  going into
[01:20:12.240 --> 01:20:13.120]  our diode,
[01:20:13.720 --> 01:20:14.820]  going into
[01:20:14.820 --> 01:20:15.340]  our
[01:20:15.340 --> 01:20:16.140]  1
[01:20:16.140 --> 01:20:16.500]  kilo
[01:20:16.500 --> 01:20:16.780]  ohm
[01:20:16.780 --> 01:20:17.220]  resistor.
[01:20:18.740 --> 01:20:19.060]  Okay,
[01:20:19.780 --> 01:20:21.040]  and
[01:20:21.040 --> 01:20:21.880]  we have
[01:20:21.880 --> 01:20:22.020]  our
[01:20:22.020 --> 01:20:22.400]  V sub
[01:20:22.400 --> 01:20:22.960]  r here.
[01:20:23.940 --> 01:20:24.180]  Okay,
[01:20:24.540 --> 01:20:25.000]  and we
[01:20:25.000 --> 01:20:25.580]  do this
[01:20:25.580 --> 01:20:26.380]  and obviously
[01:20:26.380 --> 01:20:27.440]  the current
[01:20:27.440 --> 01:20:28.020]  is flowing
[01:20:28.020 --> 01:20:28.400]  in the
[01:20:28.400 --> 01:20:28.700]  correct
[01:20:28.700 --> 01:20:29.220]  direction
[01:20:29.220 --> 01:20:30.680]  and so
[01:20:30.680 --> 01:20:31.600]  our diode
[01:20:31.600 --> 01:20:32.900]  will conduct
[01:20:32.900 --> 01:20:33.660]  and it
[01:20:33.660 --> 01:20:34.300]  will conduct
[01:20:34.300 --> 01:20:35.100]  with a
[01:20:35.100 --> 01:20:35.960]  0.7
[01:20:35.960 --> 01:20:36.400]  volt
[01:20:36.400 --> 01:20:37.540]  voltage
[01:20:37.540 --> 01:20:38.040]  drop.
[01:20:38.780 --> 01:20:39.120]  V sub
[01:20:39.120 --> 01:20:39.500]  V is
[01:20:39.500 --> 01:20:39.860]  equal to
[01:20:39.860 --> 01:20:40.540]  0.7.
[01:20:41.280 --> 01:20:41.700]  All right,
[01:20:42.740 --> 01:20:47.040]  so we're
[01:20:47.040 --> 01:20:47.380]  going to
[01:20:47.380 --> 01:20:48.100]  get that
[01:20:48.100 --> 01:20:49.640]  and so
[01:20:49.640 --> 01:20:50.020]  we will
[01:20:50.020 --> 01:20:50.760]  see that
[01:20:50.760 --> 01:20:51.480]  V sub
[01:20:51.480 --> 01:20:51.880]  r,
[01:20:52.640 --> 01:20:53.200]  I'll
[01:20:53.200 --> 01:20:53.580]  skip
[01:20:53.580 --> 01:20:54.580]  the KVL
[01:20:54.580 --> 01:20:55.080]  because you
[01:20:55.080 --> 01:20:55.740]  already know
[01:20:55.740 --> 01:20:56.080]  this,
[01:20:56.620 --> 01:20:57.560]  9.3
[01:20:57.560 --> 01:20:58.040]  volts.
[01:20:59.000 --> 01:20:59.180]  Okay,
[01:20:59.620 --> 01:21:00.240]  and because
[01:21:00.240 --> 01:21:00.700]  we know
[01:21:00.700 --> 01:21:01.100]  that we
[01:21:01.100 --> 01:21:02.040]  have 9.3
[01:21:02.040 --> 01:21:02.380]  volts
[01:21:02.380 --> 01:21:03.320]  across the
[01:21:03.320 --> 01:21:03.740]  resistor,
[01:21:04.280 --> 01:21:04.620]  we can
[01:21:04.620 --> 01:21:05.020]  easily
[01:21:05.020 --> 01:21:05.620]  calculate
[01:21:05.620 --> 01:21:06.180]  our
[01:21:06.180 --> 01:21:06.700]  current.
[01:21:07.260 --> 01:21:08.100]  I is
[01:21:08.100 --> 01:21:08.740]  equal to
[01:21:08.740 --> 01:21:09.800]  9.3
[01:21:09.800 --> 01:21:10.200]  volts
[01:21:10.200 --> 01:21:11.160]  divided by
[01:21:11.160 --> 01:21:11.700]  1
[01:21:11.700 --> 01:21:12.520]  kilo ohm
[01:21:12.520 --> 01:21:13.800]  which gives
[01:21:13.800 --> 01:21:14.400]  us
[01:21:14.400 --> 01:21:16.460]  9.3
[01:21:16.460 --> 01:21:18.140]  milliampere.
[01:21:18.600 --> 01:21:19.220]  Okay,
[01:21:19.720 --> 01:21:20.360]  so there
[01:21:20.360 --> 01:21:20.660]  you go
[01:21:20.660 --> 01:21:21.120]  with that.
[01:21:21.520 --> 01:21:22.020]  Those are
[01:21:22.020 --> 01:21:22.400]  our
[01:21:22.400 --> 01:21:23.140]  answers.
[01:21:24.000 --> 01:21:24.300]  All right,
[01:21:24.500 --> 01:21:25.580]  so 9.3
[01:21:25.580 --> 01:21:26.440]  milliampere
[01:21:26.440 --> 01:21:27.380]  with
[01:21:27.380 --> 01:21:28.240]  V sub
[01:21:28.240 --> 01:21:29.040]  r equal
[01:21:29.040 --> 01:21:29.520]  to
[01:21:29.520 --> 01:21:31.340]  9.3
[01:21:31.340 --> 01:21:32.180]  volts.
[01:21:32.180 --> 01:21:33.740]  9.4
[01:21:33.740 --> 01:21:34.180]  million.
[01:21:34.180 --> 01:21:34.480]  All right,
[01:21:34.680 --> 01:21:35.640]  and comparing
[01:21:35.640 --> 01:21:36.920]  that to
[01:21:36.920 --> 01:21:37.720]  the more
[01:21:37.720 --> 01:21:38.700]  exacting
[01:21:38.700 --> 01:21:39.540]  answer that
[01:21:39.540 --> 01:21:40.080]  we get
[01:21:40.080 --> 01:21:41.960]  from our
[01:21:41.960 --> 01:21:44.160]  load line
[01:21:44.160 --> 01:21:44.720]  analysis
[01:21:44.720 --> 01:21:45.360]  and,
[01:21:45.460 --> 01:21:45.740]  you know,
[01:21:45.780 --> 01:21:46.180]  very,
[01:21:46.320 --> 01:21:47.400]  very sharp
[01:21:47.400 --> 01:21:48.680]  eyes with
[01:21:48.680 --> 01:21:49.360]  the ability
[01:21:49.360 --> 01:21:50.820]  to super
[01:21:50.820 --> 01:21:51.540]  humanly
[01:21:51.540 --> 01:21:52.440]  estimate the
[01:21:52.440 --> 01:21:53.060]  values.
[01:21:53.400 --> 01:21:54.200]  All right,
[01:21:54.340 --> 01:21:55.000]  we can see
[01:21:55.000 --> 01:21:55.780]  that there is
[01:21:55.780 --> 01:21:56.380]  a slight
[01:21:56.380 --> 01:21:57.460]  difference in
[01:21:57.460 --> 01:21:57.960]  the amount
[01:21:57.960 --> 01:21:58.600]  of current
[01:21:58.600 --> 01:21:59.860]  expected
[01:21:59.860 --> 01:22:01.800]  9.25
[01:22:01.800 --> 01:22:02.420]  milliampere
[01:22:02.420 --> 01:22:03.960]  and also
[01:22:03.960 --> 01:22:04.620]  the resulting
[01:22:04.620 --> 01:22:05.580]  voltage obviously
[01:22:05.580 --> 01:22:06.340]  across the
[01:22:06.340 --> 01:22:07.260]  resistor given
[01:22:07.260 --> 01:22:08.700]  the slightly
[01:22:08.700 --> 01:22:09.760]  different voltage
[01:22:09.760 --> 01:22:10.160]  drop
[01:22:10.160 --> 01:22:12.100]  basically means
[01:22:12.100 --> 01:22:12.460]  that,
[01:22:12.600 --> 01:22:12.860]  you know,
[01:22:13.100 --> 01:22:14.140]  the calculations
[01:22:14.140 --> 01:22:15.240]  there would be
[01:22:15.240 --> 01:22:16.100]  or the results
[01:22:16.100 --> 01:22:16.940]  would be a little
[01:22:16.940 --> 01:22:17.600]  bit different,
[01:22:18.160 --> 01:22:18.620]  very, very
[01:22:18.620 --> 01:22:19.300]  close to each
[01:22:19.300 --> 01:22:20.320]  other but
[01:22:20.320 --> 01:22:22.160]  not exactly
[01:22:22.160 --> 01:22:22.920]  the same
[01:22:22.920 --> 01:22:23.380]  at all.
[01:22:23.760 --> 01:22:24.080]  All right,
[01:22:24.200 --> 01:22:24.980]  not exactly
[01:22:24.980 --> 01:22:25.380]  the same.
[01:22:25.900 --> 01:22:26.240]  All right,
[01:22:26.240 --> 01:22:27.560]  so are there
[01:22:27.560 --> 01:22:28.520]  questions about
[01:22:28.520 --> 01:22:28.760]  this?
[01:22:28.800 --> 01:22:29.400]  So this is
[01:22:29.400 --> 01:22:30.380]  fairly easy
[01:22:30.380 --> 01:22:30.840]  stuff.
[01:22:33.540 --> 01:22:34.140]  Sana ganun
[01:22:34.140 --> 01:22:34.520]  kadali
[01:22:34.520 --> 01:22:35.260]  yung matanong
[01:22:35.260 --> 01:22:35.780]  sa quiz.
[01:22:36.400 --> 01:22:36.700]  Siyempre
[01:22:36.700 --> 01:22:37.020]  hindi.
[01:22:37.720 --> 01:22:37.880]  Okay.
[01:22:38.940 --> 01:22:39.340]  All right,
[01:22:40.180 --> 01:22:41.280]  so that's
[01:22:41.280 --> 01:22:42.700]  any questions
[01:22:42.700 --> 01:22:43.280]  people?
[01:22:46.220 --> 01:22:46.780]  Letting
[01:22:46.780 --> 01:22:47.300]  load line,
[01:22:47.380 --> 01:22:47.520]  no?
[01:22:48.320 --> 01:22:48.700]  All right,
[01:22:48.900 --> 01:22:49.800]  you can still
[01:22:49.800 --> 01:22:50.520]  use load line
[01:22:50.520 --> 01:22:51.620]  analysis in this
[01:22:51.620 --> 01:22:52.500]  particular case
[01:22:52.500 --> 01:22:54.340]  but
[01:22:54.340 --> 01:22:55.480]  there's no
[01:22:55.480 --> 01:22:56.040]  need to
[01:22:56.040 --> 01:22:58.200]  repeat
[01:22:58.200 --> 01:22:59.000]  the example
[01:22:59.000 --> 01:23:00.460]  last
[01:23:00.460 --> 01:23:01.380]  last one
[01:23:01.380 --> 01:23:01.700]  that we're
[01:23:01.700 --> 01:23:01.960]  going to
[01:23:01.960 --> 01:23:02.280]  take up.
[01:23:02.360 --> 01:23:02.680]  This one's
[01:23:02.680 --> 01:23:03.080]  a joke.
[01:23:03.660 --> 01:23:03.960]  Repeat
[01:23:03.960 --> 01:23:04.580]  the example
[01:23:04.580 --> 01:23:05.320]  using the
[01:23:05.320 --> 01:23:05.860]  ideal
[01:23:05.860 --> 01:23:06.400]  diode.
[01:23:07.460 --> 01:23:08.100]  Kung
[01:23:08.100 --> 01:23:08.540]  ideal
[01:23:08.540 --> 01:23:09.100]  diode,
[01:23:09.520 --> 01:23:10.000]  eh,
[01:23:10.060 --> 01:23:10.360]  medyo
[01:23:10.360 --> 01:23:10.780]  sobrang
[01:23:10.780 --> 01:23:11.020]  dali,
[01:23:11.160 --> 01:23:11.420]  di ba?
[01:23:12.420 --> 01:23:12.760]  All right,
[01:23:12.860 --> 01:23:13.300]  kung 10
[01:23:13.300 --> 01:23:13.940]  volts yan,
[01:23:14.240 --> 01:23:14.840]  kung ideal
[01:23:14.840 --> 01:23:15.480]  diode,
[01:23:16.260 --> 01:23:16.880]  the ideal
[01:23:16.880 --> 01:23:17.340]  diode
[01:23:17.340 --> 01:23:18.200]  does not
[01:23:18.200 --> 01:23:19.040]  drop any
[01:23:19.040 --> 01:23:19.700]  voltage.
[01:23:19.880 --> 01:23:20.420]  The V sub
[01:23:20.420 --> 01:23:20.920]  B is
[01:23:20.920 --> 01:23:21.560]  equal to
[01:23:21.560 --> 01:23:22.020]  zero.
[01:23:23.360 --> 01:23:23.600]  Okay?
[01:23:23.600 --> 01:23:24.680]  So in
[01:23:24.680 --> 01:23:25.380]  that case,
[01:23:25.480 --> 01:23:25.720]  you're
[01:23:25.720 --> 01:23:26.120]  going to
[01:23:26.120 --> 01:23:26.480]  get
[01:23:26.480 --> 01:23:27.560]  basically
[01:23:27.560 --> 01:23:28.860]  the full
[01:23:28.860 --> 01:23:29.440]  voltage
[01:23:29.440 --> 01:23:30.180]  across the
[01:23:30.180 --> 01:23:30.600]  resistor.
[01:23:31.300 --> 01:23:31.800]  So therefore,
[01:23:32.060 --> 01:23:32.460]  V sub
[01:23:32.460 --> 01:23:33.000]  R is
[01:23:33.000 --> 01:23:33.440]  equal to
[01:23:33.440 --> 01:23:34.160]  10 volts
[01:23:34.160 --> 01:23:35.280]  and of
[01:23:35.280 --> 01:23:35.600]  course,
[01:23:35.800 --> 01:23:36.380]  the resulting
[01:23:36.380 --> 01:23:37.280]  current that's
[01:23:37.280 --> 01:23:37.740]  going to be
[01:23:37.740 --> 01:23:38.860]  flowing is
[01:23:38.860 --> 01:23:39.600]  simply equal
[01:23:39.600 --> 01:23:40.020]  to
[01:23:40.020 --> 01:23:41.940]  10 volts
[01:23:41.940 --> 01:23:43.180]  over 1k
[01:23:43.180 --> 01:23:44.240]  which is
[01:23:44.240 --> 01:23:44.920]  equal to
[01:23:44.920 --> 01:23:45.400]  10
[01:23:45.400 --> 01:23:46.220]  milliampere.
